Selection Policy,F,CR,best
0,0.05,0.0,42216440.813044846
0,0.05,0.1,53553500.92091107
0,0.05,0.5,298635305.6195653
0,0.05,0.9,6905972878.741318
0,0.05,1.0,7176575478.422636
0,0.1,0.0,8221575.89703556
0,0.1,0.1,11773210.422593169
0,0.1,0.5,141138326.7995596
0,0.1,0.9,6589345623.167347
0,0.1,1.0,6726446143.439277
0,0.3,0.0,109749.82284935773
0,0.3,0.1,100911.2492951871
0,0.3,0.5,121137.06310734375
0,0.3,0.9,826735361.638404
0,0.3,1.0,5433460560.690832
0,0.5,0.0,102766.79566904693
0,0.5,0.1,99130.03154393267
0,0.5,0.5,80628.02475881758
0,0.5,0.9,1721284.9950852932
0,0.5,1.0,5604461674.4143095
0,0.7,0.0,126767.39623960017
0,0.7,0.1,121247.2135008903
0,0.7,0.5,97810.77194112803
0,0.7,0.9,6005.213822233528
0,0.7,1.0,1595976047.2346535
0,0.9,0.0,156051.61927204844
0,0.9,0.1,146112.35088027496
0,0.9,0.5,141708.60122126248
0,0.9,0.9,16585.260002465842
0,0.9,1.0,1441660442.90532
0,1.0,0.0,160924.95705220083
0,1.0,0.1,165669.25518750443
0,1.0,0.5,149623.69560753767
0,1.0,0.9,4004591.0412712484
0,1.0,1.0,6549511829.685295
1,0.05,0.0,19239800.491968963
1,0.05,0.1,24605607.679715715
1,0.05,0.5,69742322.42454588
1,0.05,0.9,924861525.7984664
1,0.05,1.0,7680822618.971059
1,0.1,0.0,3441112.828674933
1,0.1,0.1,5943066.642743596
1,0.1,0.5,16714476.502207203
1,0.1,0.9,555472180.4986807
1,0.1,1.0,7439067950.493352
1,0.3,0.0,216281.3888985225
1,0.3,0.1,563276.3646173141
1,0.3,0.5,174180.40691258435
1,0.3,0.9,40959049.46811144
1,0.3,1.0,2423296537.655781
1,0.5,0.0,140878.0050599059
1,0.5,0.1,142360.32823885762
1,0.5,0.5,115910.71802900922
1,0.5,0.9,29470.073249922032
1,0.5,1.0,1435241353.2253985
1,0.7,0.0,149568.01794830797
1,0.7,0.1,153357.26435217986
1,0.7,0.5,139830.57834233582
1,0.7,0.9,10670.349444899619
1,0.7,1.0,773325924.9102851
1,0.9,0.0,177133.0868098529
1,0.9,0.1,167798.20034329002
1,0.9,0.5,162955.5284308127
1,0.9,0.9,113658.10916862785
1,0.9,1.0,527374043.27391684
1,1.0,0.0,191135.07771102048
1,1.0,0.1,180437.25927428025
1,1.0,0.5,181320.91243352552
1,1.0,0.9,291167.00417292607
1,1.0,1.0,1711888911.8477752
2,0.05,0.0,334089455.4632534
2,0.05,0.1,269609166.7225773
2,0.05,0.5,290043687.5197484
2,0.05,0.9,1889299716.5108895
2,0.05,1.0,2636075816.5683565
2,0.1,0.0,14495551.794250319
2,0.1,0.1,12663846.193559539
2,0.1,0.5,122154864.23865706
2,0.1,0.9,1713245664.9840078
2,0.1,1.0,2576660813.1303425
2,0.3,0.0,51408.05415234219
2,0.3,0.1,59692.109451525204
2,0.3,0.5,3140531.021622123
2,0.3,0.9,1015970538.1408317
2,0.3,1.0,2381239640.2474556
2,0.5,0.0,78436.76559286843
2,0.5,0.1,73639.30706057561
2,0.5,0.5,61098.18686378545
2,0.5,0.9,81536759.12804726
2,0.5,1.0,2002413115.4603322
2,0.7,0.0,110041.35721255654
2,0.7,0.1,108902.71853080169
2,0.7,0.5,86531.21668074762
2,0.7,0.9,7791.053130487874
2,0.7,1.0,1420313946.403356
2,0.9,0.0,148462.33730980466
2,0.9,0.1,127880.41799275656
2,0.9,0.5,135316.35372656785
2,0.9,0.9,17170.68379960292
2,0.9,1.0,1152588836.7303503
2,1.0,0.0,169106.9017969397
2,1.0,0.1,170054.13492486635
2,1.0,0.5,158065.18636407534
2,1.0,0.9,3016875.700150457
2,1.0,1.0,6566583614.191054
